All calculations,Synchronous Generator 1,Synchronous Generator 2,Synchronous Generator 3
"Time in s","Reactive Power in Mvar","Reactive Power in Mvar","Reactive Power in Mvar"
2.3826,0.4737,0.4737,0.4441
2.3926,0.4737,0.4737,0.4453
2.4026,0.4736,0.4736,0.4465
2.4126,0.4735,0.4735,0.4478
2.4226,0.4733,0.4733,0.4491
2.4326,0.4730,0.4730,0.4504
2.4426,0.4726,0.4726,0.4517
2.4526,0.4722,0.4722,0.4529
2.4626,0.4717,0.4717,0.4541
2.4726,0.4712,0.4712,0.4553
2.4826,0.4706,0.4706,0.4565
2.4926,0.4701,0.4701,0.4577
2.5026,0.4696,0.4696,0.4588
2.5126,0.4691,0.4691,0.4600
2.5226,0.4687,0.4687,0.4612
2.5326,0.4683,0.4683,0.4623
2.5426,0.4679,0.4679,0.4633
2.5526,0.4676,0.4676,0.4643
2.5626,0.4672,0.4672,0.4652
2.5726,0.4669,0.4669,0.4660
2.5826,0.4665,0.4665,0.4667
2.5926,0.4662,0.4662,0.4672
2.6026,0.4659,0.4659,0.4677
2.6126,0.4656,0.4656,0.4681
2.6226,0.4654,0.4654,0.4684
2.6326,0.4653,0.4653,0.4687
2.6426,0.4652,0.4652,0.4689
2.6526,0.4652,0.4652,0.4690
2.6626,0.4653,0.4653,0.4691
2.6726,0.4655,0.4655,0.4692
2.6826,0.4657,0.4657,0.4691
2.6926,0.4659,0.4659,0.4690
2.7026,0.4662,0.4662,0.4688
2.7126,0.4665,0.4665,0.4685
2.7226,0.4669,0.4669,0.4682
2.7326,0.4672,0.4672,0.4678
2.7426,0.4677,0.4677,0.4673
2.7526,0.4681,0.4681,0.4669
2.7626,0.4687,0.4687,0.4664
2.7726,0.4693,0.4693,0.4660
2.7826,0.4699,0.4699,0.4655
2.7926,0.4706,0.4706,0.4651
2.8026,0.4714,0.4714,0.4647
2.8126,0.4722,0.4722,0.4643
2.8226,0.4730,0.4730,0.4640
2.8326,0.4738,0.4738,0.4636
2.8426,0.4746,0.4746,0.4633
2.8526,0.4755,0.4755,0.4631
