All calculations,Synchronous Generator 1,Synchronous Generator 2,Synchronous Generator 3
"Time in s","Active Power in MW","Active Power in MW","Active Power in MW"
2.8726,15.5300,15.5300,15.5300
2.8826,15.5300,15.5300,15.5300
2.8926,15.5300,15.5300,15.5300
2.9026,15.5300,15.5300,15.5300
2.9126,15.5299,15.5299,15.5299
2.9226,15.5299,15.5299,15.5299
2.9326,15.5299,15.5299,15.5299
2.9426,15.5299,15.5299,15.5299
2.9526,15.5299,15.5299,15.5299
2.9626,15.5299,15.5299,15.5299
2.9726,15.5299,15.5299,15.5299
2.9826,15.5299,15.5299,15.5299
2.9926,15.5299,15.5299,15.5299
3.0026,15.5299,15.5299,15.5299
3.0126,15.5299,15.5299,15.5299
3.0226,15.5299,15.5299,15.5299
3.0326,15.5299,15.5299,15.5299
3.0426,15.5299,15.5299,15.5299
3.0526,15.5299,15.5299,15.5299
3.0626,15.5299,15.5299,15.5299
3.0726,15.5299,15.5299,15.5299
3.0826,15.5299,15.5299,15.5299
3.0926,15.5299,15.5299,15.5299
3.1026,15.5299,15.5299,15.5299
3.1126,15.5299,15.5299,15.5299
3.1226,15.5298,15.5298,15.5298
3.1326,15.5298,15.5298,15.5298
3.1426,15.5298,15.5298,15.5298
3.1526,15.5298,15.5298,15.5298
3.1626,15.5298,15.5298,15.5298
3.1726,15.5298,15.5298,15.5298
3.1826,15.5298,15.5298,15.5298
3.1926,15.5299,15.5299,15.5299
3.2026,15.5299,15.5299,15.5299
3.2126,15.5299,15.5299,15.5299
3.2226,15.5299,15.5299,15.5299
3.2326,15.5299,15.5299,15.5299
3.2426,15.5299,15.5299,15.5299
3.2526,15.5299,15.5299,15.5299
3.2626,15.5299,15.5299,15.5299
3.2726,15.5299,15.5299,15.5299
3.2826,15.5299,15.5299,15.5299
3.2926,15.5299,15.5299,15.5299
3.3026,15.5299,15.5299,15.5299
3.3126,15.5299,15.5299,15.5299
3.3226,15.5299,15.5299,15.5299
3.3326,15.5299,15.5299,15.5299
3.3426,15.5299,15.5299,15.5299
3.3526,15.5299,15.5299,15.5299
3.3626,15.5299,15.5299,15.5299
3.3726,15.5299,15.5299,15.5299
3.3826,15.5299,15.5299,15.5299
3.3926,15.5299,15.5299,15.5299
3.4026,15.5299,15.5299,15.5299
3.4126,15.5299,15.5299,15.5299
3.4226,15.5299,15.5299,15.5299
3.4326,15.5299,15.5299,15.5299
3.4426,15.5299,15.5299,15.5299
3.4526,15.5299,15.5299,15.5299
3.4626,15.5299,15.5299,15.5299
3.4726,15.5300,15.5300,15.5300
3.4826,15.5300,15.5300,15.5300
3.4926,15.5300,15.5300,15.5300
3.5026,15.5300,15.5300,15.5300
3.5126,15.5300,15.5300,15.5300
3.5226,15.5300,15.5300,15.5300
3.5326,15.5300,15.5300,15.5300
3.5426,15.5300,15.5300,15.5300
3.5526,15.5300,15.5300,15.5300
3.5626,15.5300,15.5300,15.5300
3.5726,15.5300,15.5300,15.5300
3.5826,15.5300,15.5300,15.5300
3.5926,15.5300,15.5300,15.5300
3.6026,15.5300,15.5300,15.5300
3.6126,15.5300,15.5300,15.5300
3.6226,15.5300,15.5300,15.5300
3.6326,15.5300,15.5300,15.5300
3.6426,15.5300,15.5300,15.5300
3.6526,15.5300,15.5300,15.5300
3.6626,15.5300,15.5300,15.5300
3.6726,15.5300,15.5300,15.5300
3.6826,15.5300,15.5300,15.5300
3.6926,15.5301,15.5301,15.5301
3.7026,15.5301,15.5301,15.5301
3.7126,15.5301,15.5301,15.5301
3.7226,15.5301,15.5301,15.5301
3.7326,15.5301,15.5301,15.5301
3.7426,15.5301,15.5301,15.5301
3.7526,15.5301,15.5301,15.5301
3.7626,15.5301,15.5301,15.5301
3.7726,15.5301,15.5301,15.5301
3.7826,15.5301,15.5301,15.5301
3.7926,15.5301,15.5301,15.5301
3.8026,15.5301,15.5301,15.5301
3.8126,15.5301,15.5301,15.5301
3.8226,15.5301,15.5301,15.5301
3.8326,15.5301,15.5301,15.5301
3.8426,15.5301,15.5301,15.5301
3.8526,15.5301,15.5301,15.5301
3.8626,15.5301,15.5301,15.5301
3.8726,15.5301,15.5301,15.5301
3.8826,15.5301,15.5301,15.5301
3.8926,15.5301,15.5301,15.5301
3.9026,15.5301,15.5301,15.5301
3.9126,15.5301,15.5301,15.5301
3.9226,15.5301,15.5301,15.5301
3.9326,15.5301,15.5301,15.5301
3.9426,15.5302,15.5302,15.5302
3.9526,15.5302,15.5302,15.5302
3.9626,15.5302,15.5302,15.5302
3.9726,15.5302,15.5302,15.5302
3.9826,15.5302,15.5302,15.5302
3.9926,15.5302,15.5302,15.5302
4.0026,15.5302,15.5302,15.5302
4.0126,15.5302,15.5302,15.5302
4.0226,15.5302,15.5302,15.5302
4.0326,15.5302,15.5302,15.5302
4.0426,15.5302,15.5302,15.5302
4.0526,15.5302,15.5302,15.5302
4.0626,15.5302,15.5302,15.5302
4.0726,15.5302,15.5302,15.5302
4.0826,15.5302,15.5302,15.5302
4.0926,15.5302,15.5302,15.5302
4.1026,15.5302,15.5302,15.5302
4.1126,15.5302,15.5302,15.5302
4.1226,15.5302,15.5302,15.5302
4.1326,15.5302,15.5302,15.5302
4.1426,15.5302,15.5302,15.5302
4.1526,15.5302,15.5302,15.5302
4.1626,15.5302,15.5302,15.5302
4.1726,15.5302,15.5302,15.5302
4.1826,15.5302,15.5302,15.5302
4.1926,15.5302,15.5302,15.5302
4.2026,15.5302,15.5302,15.5302
4.2126,15.5302,15.5302,15.5302
4.2226,15.5302,15.5302,15.5302
4.2326,15.5303,15.5303,15.5303
4.2426,15.5303,15.5303,15.5303
4.2526,15.5303,15.5303,15.5303
4.2626,15.5303,15.5303,15.5303
4.2726,15.5303,15.5303,15.5303
4.2826,15.5303,15.5303,15.5303
4.2926,15.5303,15.5303,15.5303
4.3026,15.5303,15.5303,15.5303
4.3126,15.5303,15.5303,15.5303
4.3226,15.5303,15.5303,15.5303
4.3326,15.5303,15.5303,15.5303
4.3426,15.5303,15.5303,15.5303
4.3526,15.5303,15.5303,15.5303
4.3626,15.5303,15.5303,15.5303
4.3726,15.5303,15.5303,15.5303
4.3826,15.5303,15.5303,15.5303
4.3926,15.5303,15.5303,15.5303
4.4026,15.5303,15.5303,15.5303
4.4126,15.5303,15.5303,15.5303
4.4226,15.5303,15.5303,15.5303
4.4326,15.5303,15.5303,15.5303
4.4426,15.5303,15.5303,15.5303
4.4526,15.5303,15.5303,15.5303
4.4626,15.5303,15.5303,15.5303
4.4726,15.5303,15.5303,15.5303
4.4826,15.5303,15.5303,15.5303
4.4926,15.5303,15.5303,15.5303
4.5026,15.5303,15.5303,15.5303
4.5126,15.5303,15.5303,15.5303
4.5226,15.5303,15.5303,15.5303
4.5326,15.5303,15.5303,15.5303
4.5426,15.5303,15.5303,15.5303
4.5526,15.5303,15.5303,15.5303
4.5626,15.5303,15.5303,15.5303
4.5726,15.5304,15.5304,15.5304
4.5826,15.5304,15.5304,15.5304
4.5926,15.5304,15.5304,15.5304
4.6026,15.5304,15.5304,15.5304
4.6126,15.5304,15.5304,15.5304
4.6226,15.5304,15.5304,15.5304
4.6326,15.5304,15.5304,15.5304
4.6426,15.5304,15.5304,15.5304
4.6526,15.5304,15.5304,15.5304
4.6626,15.5304,15.5304,15.5304
4.6726,15.5304,15.5304,15.5304
4.6826,15.5304,15.5304,15.5304
4.6926,15.5304,15.5304,15.5304
4.7026,15.5304,15.5304,15.5304
4.7126,15.5304,15.5304,15.5304
4.7226,15.5304,15.5304,15.5304
4.7326,15.5304,15.5304,15.5304
4.7426,15.5304,15.5304,15.5304
4.7526,15.5304,15.5304,15.5304
4.7626,15.5304,15.5304,15.5304
4.7726,15.5304,15.5304,15.5304
